COUNTY_ID,COUNTY,ARPS_CNT,LF_CNT,O_CNT,C_CNT,E_CNT,A_CNT,L_CNT,J_CNT,T_CNT,D_CNT,N_CNT,M_CNT,TC_CNT,FW_CNT,B_CNT,LFOT_CNT,UE_CNT,NLF_CNT,H_CNT,S_CNT,NLFOT_CNT,N15A_CNT,INFO_TIME
縣市代碼,縣市名稱,外僑居留人數總計,勞動力,公務人員,商務人員,工程師,會計師,律師,記者,教師,醫師,護理人員,傳教士,技工技匠,外籍勞工,船員,勞動力其他,失業,非勞動力,家務,就學,非勞動力其他,未滿十五歲者,資料時間
65000,新北市,112438,101496,0,737,363,4,7,8,1296,84,6,189,72,88919,11,8292,1508,10267,3740,6374,153,675,"108Y11M"
63000,臺北市,73096,60413,2,3136,631,13,19,29,2035,126,9,239,27,39164,18,13454,1511,9440,1961,7338,141,3243,"108Y11M"
68000,桃園市,124696,119860,1,127,223,2,0,1,403,43,1,82,55,108784,12,8452,1674,4423,606,3779,38,413,"108Y11M"
66000,臺中市,111513,103160,0,610,364,2,2,0,1115,79,4,291,89,96555,26,2795,1228,7655,2696,4795,164,698,"108Y11M"
67000,臺南市,66362,61623,0,82,177,1,4,1,452,31,2,73,55,58280,45,1625,795,4514,1131,3342,41,225,"108Y11M"
64000,高雄市,72299,62909,0,372,487,1,0,0,794,79,1,187,36,57761,211,2290,690,8837,2655,6139,43,553,"108Y11M"
10002,宜蘭縣,13635,12736,0,12,10,0,0,0,90,10,1,30,7,12337,0,211,28,873,532,333,8,26,"108Y11M"
10004,新竹縣,32780,30363,0,142,296,1,2,0,311,10,0,50,18,28405,0,596,532,2176,820,1342,14,241,"108Y11M"
10005,苗栗縣,22623,21687,0,24,56,1,0,0,82,5,0,17,3,20688,0,325,486,889,403,457,29,47,"108Y11M"
10007,彰化縣,56153,53164,0,13,8,0,0,0,130,13,0,27,8,52154,0,601,210,2937,1522,1409,6,52,"108Y11M"
10008,南投縣,14211,13140,0,15,4,0,0,0,72,4,0,20,16,12355,0,309,345,1053,437,605,11,18,"108Y11M"
10009,雲林縣,21250,19765,0,21,34,0,1,0,71,6,1,20,24,18650,0,742,195,1374,464,873,37,111,"108Y11M"
10010,嘉義縣,15111,12693,0,12,6,0,0,0,35,6,0,21,14,12372,21,121,85,2393,630,1745,18,25,"108Y11M"
10013,屏東縣,17164,15300,0,17,13,0,0,0,62,11,0,56,9,14727,1,267,137,1819,1034,779,6,45,"108Y11M"
10014,臺東縣,2763,2555,0,18,3,0,1,0,65,0,1,21,2,2224,20,104,96,183,144,21,18,25,"108Y11M"
10015,花蓮縣,7359,6514,0,16,8,1,0,0,72,12,2,25,5,5502,0,414,457,819,74,728,17,26,"108Y11M"
10016,澎湖縣,2874,2827,0,3,0,0,0,0,16,0,0,2,1,2716,16,17,56,45,21,23,1,2,"108Y11M"
10017,基隆市,7218,6092,0,27,5,0,0,0,51,5,0,5,2,5516,25,177,279,1103,257,826,20,23,"108Y11M"
10018,新竹市,18517,14988,0,149,590,2,1,0,426,9,0,94,5,12473,0,1002,237,3054,918,2124,12,475,"108Y11M"
10020,嘉義市,3899,3542,0,12,16,0,0,0,82,5,0,28,7,3216,0,91,85,336,148,179,9,21,"108Y11M"
09020,金門縣,1224,1158,0,2,5,0,0,0,15,0,0,3,1,1005,50,40,37,64,20,43,1,2,"108Y11M"
09007,連江縣,251,247,0,0,0,0,0,0,0,0,0,0,0,199,28,5,15,4,4,0,0,0,"108Y11M"
